Bank_Name,City,State,Cert,Acquiring_Institution,Closing_Date,Estimated_Loss,Total_Assets,Total_Deposits
Connecticut Bank of Commerce,Stamford,CT,19183,Hudson United Bank,2002-06-26,53784000,384172000,344416000
New Century Bank,Shelby Township,MI,34979,No Acquirer,2002-03-28,4440000,21091000,18902000
Net 1st National Bank,Boca Raton,FL,26652,Bank Leumi USA,2002-03-01,,37207000,31601000
"NextBank, NA",Phoenix,AZ,22314,No Acquirer,2002-02-07,164047000,700180000,551297000
Oakwood Deposit Bank Co.,Oakwood,OH,8966,The State Bank & Trust Company,2002-02-01,63600000,72267000,60168000
Bank of Sierra Blanca,Sierra Blanca,TX,22002,The Security State Bank of Pecos,2002-01-18,4574000,10764000,9914000
"Hamilton Bank, NA",Miami,FL,24382,Israel Discount Bank of New York,2002-01-11,101748000,1409496000,1298731000
Sinclair National Bank,Gravette,AR,34248,Delta Trust & Bank,2001-09-07,4206000,29792000,26054000
"Superior Bank, FSB",Hinsdale,IL,32646,"Superior Federal, FSB",2001-07-27,286673000,1765455000,1609501000
Malta National Bank,Malta,OH,6629,North Valley Bank,2001-05-03,769000,9075000,8728000
First Alliance Bank & Trust Co.,Manchester,NH,34264,Southern New Hampshire Bank & Trust,2001-02-02,817000,17438000,16931000
National State Bank of Metropolis,Metropolis,IL,3815,Banterra Bank of Marion,2000-12-14,2670000,90397000,71277000
Bank of Honolulu,Honolulu,HI,21029,Bank of the Orient,2000-10-13,400000,63890000,59037000
